hebben	moeten	bouwen	1948	1
hebben	moeten	denken	1926	1
hebben	moeten	doen	1949	1
hebben	moeten	doen	1972	1
hebben	moeten	doen	1992	1
hebben	moeten	door_maken	1971	1
hebben	moeten	door_trekken	1857	1
hebben	moeten	durven	1841	1
hebben	moeten	functioneren	1988	1
hebben	moeten	gaan	1895	1
hebben	moeten	gaan	1926	1
hebben	moeten	gaan	1963	1
hebben	moeten	gaan	1982	2
hebben	moeten	geven	1907	1
hebben	moeten	gevoelen	1937	1
hebben	moeten	gunnen	1894	1
hebben	moeten	helpen	1922	1
hebben	moeten	herhalen	1971	1
hebben	moeten	heten	1874	1
hebben	moeten	heten	1960	1
hebben	moeten	horen	1925	1
hebben	moeten	horen	1971	1
hebben	moeten	houden	1847	1
hebben	moeten	huren	1898	1
hebben	moeten	in_lichten	1975	1
hebben	moeten	keren	1924	1
hebben	moeten	komen	1918	1
hebben	moeten	komen	1948	1
hebben	moeten	krabben	1959	1
hebben	moeten	laten	1973	1
hebben	moeten	leggen	1869	1
hebben	moeten	leggen	1906	1
hebben	moeten	lezen	1937	1
hebben	moeten	lezen	1979	1
hebben	moeten	na_bootsen	1978	1
hebben	moeten	noemen	1846	1
hebben	moeten	om_zien	1846	1
hebben	moeten	ondergaan	1956	1
hebben	moeten	ontgelden	1916	1
hebben	moeten	op_geven	1925	1
hebben	moeten	op_merken	1963	1
hebben	moeten	plaatsen	1841	1
hebben	moeten	prijs_geven	1902	1
hebben	moeten	publiceren	1937	1
hebben	moeten	raadplegen	1936	1
hebben	moeten	raadplegen	1994	1
hebben	moeten	ruilen	1978	1
hebben	moeten	ruimen	1985	1
hebben	moeten	smoren	1890	1
hebben	moeten	staan	1951	1
hebben	moeten	stellen	1982	1
hebben	moeten	stoten	1839	1
hebben	moeten	teren	1919	1
hebben	moeten	terug_nemen	1926	1
hebben	moeten	uit_maken	1963	1
hebben	moeten	uit_scheiden	1924	1
hebben	moeten	verlaten	1874	1
hebben	moeten	vluchten	1880	1
hebben	moeten	voeren	1880	1
hebben	moeten	voeren	1907	1
hebben	moeten	volgen	1841	1
hebben	moeten	volgen	1910	1
hebben	moeten	voort_vloeien	1875	1
hebben	moeten	voort_zetten	1907	1
hebben	moeten	wachten	1960	1
hebben	moeten	wenden	1896	1
hebben	moeten	wenden	1968	1
hebben	moeten	wenen	1924	1
hebben	moeten	werken	1979	1
hebben	moeten	zeggen	1928	1
hebben	moeten	zeggen	1949	1
hebben	moeten	zien	1895	1
hebben	moeten	zien	1902	1
hebben	moeten	zien	1922	1
hebben	moeten	zijn	1840	1
hebben	moeten	zijn	1846	2
hebben	moeten	zijn	1847	1
hebben	moeten	zijn	1912	1
hebben	moeten	zijn	1935	1
hebben	moeten	zijn	1964	1
hebben	moeten	zijn	1995	1
hebben	moeten	zorgen	1880	1
hebben	moeten	zorgen	1992	1
hebben	mogen	blijven	1979	1
hebben	mogen	bogen	1933	1
