verb1,year,frequency
aan_wijzen,1940,1
aan_wijzen,1945,1
aan_wijzen,1948,1
aan_wijzen,1949,1
aan_wijzen,1972,1
aan_wijzen,1985,2
aan_wijzen,1994,1
aan_wrijven,1953,1
aan_wrijven,1964,1
aan_zeggen,1952,1
aan_zetten,1891,1
aan_zetten,1920,2
aan_zetten,1922,2
aan_zetten,1961,1
aan_zetten,1971,1
aan_zetten,1982,1
aan_zetten,1985,1
aan_zien,1837,3
aan_zien,1840,1
aan_zien,1841,3
aan_zien,1842,3
aan_zien,1847,1
aan_zien,1875,1
aan_zien,1890,2
aan_zien,1895,2
aan_zien,1903,1
aan_zien,1904,2
aan_zien,1905,3
aan_zien,1908,1
aan_zien,1910,3
aan_zien,1919,1
aan_zien,1922,10
aan_zien,1924,1
aan_zien,1925,4
aan_zien,1934,1
aan_zien,1937,3
aan_zien,1948,1
aan_zien,1950,1
aan_zien,1953,1
aan_zien,1957,2
aan_zien,1971,1
aan_zitten,1840,1
aan_zitten,1894,1
aan_zitten,1906,1
aan_zitten,1908,1
aan_zitten,1918,1
aan_zitten,1938,1
aan_zitten,1951,1
aan_zitten,1964,1
aan_zitten,1970,1
aan_zwellen,1956,1
aanbidden,1841,1
aanbidden,1926,1
aanbidden,1980,1
aaneen_rijgen,1934,1
aanhoren,1903,1
aanhoren,1978,1
aannemen,1951,1
aanschouwen,1841,2
aanschouwen,1880,1
aanschouwen,1906,1
aanschouwen,1935,1
aanschouwen,1951,1
aanschouwen,1952,1
aanvaarden,1842,1
aanvaarden,1846,1
aanvaarden,1847,1
aanvaarden,1857,2
aanvaarden,1869,1
aanvaarden,1874,1
aanvaarden,1875,1
aanvaarden,1880,1
aanvaarden,1890,2
aanvaarden,1895,1
aanvaarden,1902,2
aanvaarden,1903,1
aanvaarden,1906,1
aanvaarden,1909,1
aanvaarden,1919,2
aanvaarden,1925,2
aanvaarden,1926,3
aanvaarden,1934,1
aanvaarden,1935,2
aanvaarden,1945,1
aanvaarden,1946,2
aanvaarden,1951,2
aanvaarden,1954,1
aanvaarden,1958,1
aanvaarden,1959,2
aanvaarden,1970,1
aanvaarden,1971,2
aanvaarden,1975,1
aanvaarden,1994,1
aanzien,1869,1
aanzien,1912,1
aarden,1924,1
aarden,1935,1
aarden,1964,1
aarzelen,1842,1
aarzelen,1843,1
aarzelen,1880,1
aarzelen,1905,1
aarzelen,1918,3
aarzelen,1919,1
aarzelen,1925,1
aarzelen,1934,1
aarzelen,1935,1
aarzelen,1957,1
aarzelen,1961,1
aarzelen,1964,1
aarzelen,1978,1
aarzelen,1980,1
aarzelen,1992,1
aarzelen,1994,1
accentueren,1951,1
accentueren,1954,1
accepteren,1894,1
accepteren,1955,1
accepteren,1961,1
accepteren,1975,1
accepteren,1979,2
accepteren,1991,1
accepteren,1992,1
accepteren,1995,1
achten,1842,1
achten,1846,1
achten,1860,1
achten,1869,2
achten,1871,12
achten,1874,2
achten,1875,2
achten,1880,8
achten,1888,2
achten,1894,5
achten,1895,1
achten,1903,1
achten,1910,3
achten,1911,1
achten,1912,1
achten,1913,2
achten,1917,2
achten,1919,1
achten,1923,1
achten,1924,2
achten,1925,3
achten,1926,2
achten,1930,1
achten,1931,1
achten,1933,1
achten,1934,1
achten,1935,2
achten,1937,2
achten,1938,1
achten,1940,1
achten,1946,2
achten,1951,4
achten,1953,1
achten,1954,1
achten,1955,4
achten,1958,3
achten,1959,1
achten,1961,1
achten,1964,2
achten,1965,2
achten,1968,2
achten,1971,1
achten,1973,1
achten,1974,1
achten,1975,2
achten,1979,2
achten,1991,2
achten,1999,1
achter_blijven,1847,1
achter_blijven,1860,1
achter_blijven,1890,1
achter_blijven,1894,1
achter_blijven,1896,1
achter_blijven,1940,1
achter_blijven,1951,2
achter_blijven,1956,2
achter_blijven,1957,1
achter_blijven,1964,1
achter_blijven,1972,1
achter_blijven,1980,2
achter_blijven,1991,1
achter_houden,1961,1
achter_laten,1841,1
achter_laten,1857,1
achter_laten,1874,1
achter_laten,1880,3
achter_laten,1907,1
achter_laten,1918,1
achter_laten,1922,1
achter_laten,1926,1
achter_laten,1951,1
achter_laten,1963,1
achter_laten,1970,1
achter_laten,1977,2
achter_laten,1978,1
achter_liggen,1982,1
achter_staan,1905,1
achter_stellen,1913,2
achter_stellen,1951,1
achterna_lopen,1895,1
achterna_stormen,1895,1
achterna_zenden,1925,1
achterna_zijn,1890,1
achterna_zitten,1949,1
achterna_zitten,1956,1
achterover_leunen,1895,1
achteruit_gaan,1973,1
achtervolgen,1949,1
actualiseren,1984,1
actualiseren,1991,1
adelen,1959,1
adem_halen,1860,1
adem_halen,1971,1
ademen,1842,1
ademen,1875,1
ademen,1890,1
ademen,1903,1
ademen,1906,1
ademen,1925,1
ademen,1957,2
ademen,1963,1
adstrueren,1948,1
af_bakenen,1964,1
af_beelden,1950,1
af_beulen,1972,2
af_beulen,1977,1
af_bijten,1922,1
af_breken,1837,2
af_breken,1839,1
af_breken,1847,1
af_breken,1918,1
af_breken,1935,2
af_breken,1949,1
af_breken,1951,2
af_brengen,1903,1
af_brengen,1954,1
af_dalen,1874,1
af_dalen,1895,1
af_dalen,1918,1
af_dalen,1922,1
af_dalen,1941,2
af_dalen,1978,1
af_danken,1935,1
af_danken,1963,1
af_doen,1890,1
af_doen,1910,1
af_doen,1934,1
af_doen,1955,1
af_doen,1961,1
af_doen,1970,1
af_doen,1999,1
af_draaien,1925,1
af_draaien,1963,1
af_drijven,1978,1
af_druipen,1847,1
af_druipen,1925,1
af_druipen,1959,1
af_drukken,1957,2
af_dwalen,1895,1
af_dwalen,1910,1
af_dwalen,1918,2
af_dwingen,1895,1
af_dwingen,1929,1
af_dwingen,1961,1
af_dwingen,1979,1
af_dwingen,1994,1
af_fladderen,1837,1
af_gaan,1841,1
af_gaan,1906,1
af_gaan,1909,1
af_gaan,1910,2
af_gaan,1919,1
af_gaan,1922,1
af_gaan,1925,2
af_gaan,1949,1
af_gaan,1978,1
af_geven,1874,1
af_geven,1910,1
af_geven,1926,1
af_geven,1951,1
af_glijden,1890,1
af_glijden,1919,1
af_glijden,1978,1
af_gluren,1938,1
af_grenzen,1959,1
af_hangen,1874,1
af_hangen,1875,1
af_hangen,1910,1
af_hangen,1918,2
af_hangen,1919,2
af_hangen,1920,1
af_hangen,1926,10
af_hangen,1933,1
af_hangen,1945,2
af_hangen,1946,1
af_hangen,1949,1
af_hangen,1958,1
af_hangen,1965,2
af_hangen,1999,1
af_houden,1970,1
af_keren,1869,1
af_keren,1919,1
af_keren,1998,1
af_keuren,1874,2
af_keuren,1903,2
af_keuren,1995,1
af_kijken,1925,2
af_kijken,1963,1
af_kloppen,1922,1
af_komen,1891,1
af_komen,1917,1
af_komen,1922,1
af_komen,1924,1
af_komen,1925,1
af_komen,1949,1
af_komen,1954,1
af_komen,1977,1
af_kopen,1919,1
af_kunnen,1874,1
af_kunnen,1922,1
af_kunnen,1926,1
af_laten,1839,1
af_laten,1892,1
af_laten,1919,1
af_leggen,1837,1
af_leggen,1843,1
af_leggen,1846,1
af_leggen,1847,1
af_leggen,1875,1
af_leggen,1928,1
af_leggen,1947,1
af_leggen,1957,1
af_leggen,1964,1
af_leggen,1965,1
af_leggen,1970,1
af_leggen,1981,2
af_leggen,1988,1
af_leggen,1992,1
af_leiden,1842,1
af_leiden,1846,1
af_leiden,1890,1
af_leiden,1891,1
af_leiden,1895,1
af_leiden,1918,1
af_leiden,1925,1
af_leiden,1994,1
af_leiden,1999,1
af_leveren,1964,1
af_leveren,1992,1
af_liggen,1909,1
af_liggen,1949,1
af_lopen,1890,1
af_lopen,1902,1
af_lopen,1910,1
af_lopen,1926,1
af_lopen,1955,1
af_lopen,1977,1
af_lopen,1978,1
af_lopen,1981,1
af_lopen,1984,1
af_lopen,1993,1
af_luisteren,1981,1
af_maken,1847,1
af_maken,1905,1
af_meten,1910,1
af_nemen,1840,1
af_nemen,1895,1
af_nemen,1905,2
af_nemen,1935,1
af_nemen,1940,1
af_nemen,1951,1
af_nemen,1959,1
af_nemen,1975,1
af_nemen,1981,1
af_nemen,1985,1
af_plukken,1904,1
af_remmen,1987,1
af_rennen,1918,1
af_rijden,1940,1
af_rijden,1964,2
af_rukken,1956,1
af_rukken,1972,1
af_schaffen,1894,2
af_schaffen,1912,1
af_scheiden,1869,1
af_scheiden,1875,1
af_scheiden,1949,1
af_schieten,1896,2
af_schilderen,1911,1
af_schilderen,1992,1
af_schrijven,1846,1
af_schrijven,1905,1
af_schrijven,1922,1
af_schrikken,1949,2
af_schudden,1842,1
af_schudden,1959,1
af_slaan,1891,1
af_slaan,1896,1
af_slaan,1949,2
af_slachten,1949,1
af_sluiten,1839,1
af_sluiten,1895,1
af_sluiten,1896,1
af_sluiten,1951,1
af_sluiten,1978,2
af_sluiten,1992,1
af_sluiten,1994,1
af_snijden,1869,1
af_snijden,1890,1
af_snijden,1895,1
af_snijden,1903,1
af_snijden,1964,1
af_snijden,1980,1
af_spelen,1937,1
af_spelen,1940,1
af_spelen,1950,1
af_spelen,1961,2
af_spelen,1964,1
af_spelen,1981,1
af_spelen,1991,1
af_spelen,1992,2
af_spiegelen,1869,1
af_spiegelen,1906,1
af_spreken,1995,1
af_springen,1949,1
af_staan,1837,1
af_staan,1875,1
af_staan,1880,3
af_staan,1890,1
af_staan,1954,1
af_staan,1972,2
af_stammen,1960,1
af_stammen,1982,1
af_stappen,1925,1
af_steken,1837,2
af_steken,1869,1
af_steken,1905,1
af_steken,1935,1
af_steken,1954,1
af_sterven,1891,1
af_stevenen,1978,1
af_stompen,1925,1
af_stompen,1926,1
af_stormen,1949,1
af_stormen,1960,1
af_stoten,1869,1
af_stoten,1905,1
af_stoten,1981,1
af_stralen,1993,1
af_stropen,1949,1
af_studeren,1979,1
af_stuiten,1880,1
af_stuiten,1890,1
af_stuiten,1909,1
af_stuiven,1919,1
af_takelen,1922,1
af_tasten,1963,1
af_tekenen,1875,1
af_tekenen,1898,1
af_tekenen,1907,1
af_tekenen,1920,1
af_tekenen,1933,1
af_tekenen,1945,1
af_tekenen,1946,1
af_tekenen,1951,1
af_tekenen,1970,1
af_tekenen,1980,1
af_tekenen,1985,1
af_tellen,1977,1
af_trekken,1919,1
af_trekken,1940,1
af_trekken,1949,1
af_vaardigen,1869,1
af_vallen,1910,1
af_vallen,1928,1
af_vallen,1930,1
af_vallen,1949,1
af_vallen,1980,1
af_varen,1984,1
af_vegen,1906,1
af_vegen,1926,2
af_vergen,1839,1
af_vliegen,1905,1
af_vragen,1875,1
af_vragen,1890,1
af_vragen,1891,1
af_vragen,1905,1
af_vragen,1912,1
af_vragen,1918,3
af_vragen,1925,2
af_vragen,1933,1
af_vragen,1934,1
af_vragen,1935,2
af_vragen,1943,1
af_vragen,1945,1
af_vragen,1949,1
af_vragen,1950,1
af_vragen,1951,3
af_vragen,1955,3
af_vragen,1957,3
af_vragen,1963,2
af_vragen,1964,2
af_vragen,1968,2
af_vragen,1970,1
af_vragen,1972,1
af_vragen,1973,1
af_vragen,1978,2
af_vragen,1979,1
af_vragen,1982,1
af_vragen,1985,1
af_vragen,1991,1
af_vragen,1992,2
af_vragen,1993,1
af_vragen,1995,1
af_vragen,1997,1
af_vragen,1999,4
af_wachten,1842,1
af_wachten,1890,1
af_wachten,1895,1
af_wachten,1922,1
af_wachten,1930,1
af_wankelen,1935,1
af_wassen,1837,1
af_wassen,1926,1
af_wenden,1841,1
af_wenden,1890,1
af_wenden,1904,1
af_wenden,1922,1
af_wenden,1925,1
af_wenden,1930,1
af_wenden,1950,1
af_wenden,1957,1
af_wenden,1978,1
af_wenden,1982,1
af_wenden,1991,2
af_wentelen,1978,1
af_weren,1842,1
af_weren,1918,2
af_weren,1930,1
af_weren,1946,1
af_werken,1971,1
af_werpen,1860,1
af_werpen,1952,1
af_weten,1930,1
af_weten,1955,1
af_weten,1963,1
af_weten,1964,2
af_weten,1968,1
af_weten,1971,1
af_wijken,1858,1
af_wijken,1869,2
af_wijken,1871,1
af_wijken,1913,1
af_wijken,1934,1
af_wijken,1951,1
af_wijken,1956,1
af_wijken,1959,1
